"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Avon","0900302060","2009-2013","Asian Alone","Ratio to State Median","Margins of Error",0.48
"Avon","0900302060","2009-2013","Black or African American Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2009-2013","Black or African American Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2009-2013","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2009-2013","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2009-2013","Hispanic or Latino","Number","Median Household Income",138393.0
"Avon","0900302060","2009-2013","Hispanic or Latino","Number","Margins of Error",61204.0
"Avon","0900302060","2009-2013","Hispanic or Latino","Ratio to State Median","Median Household Income",3.47
"Avon","0900302060","2009-2013","Hispanic or Latino","Ratio to State Median","Margins of Error",1.54
"Avon","0900302060","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Avon","0900302060","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Avon","0900302060","2009-2013","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2009-2013","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2009-2013","Some Other Race Alone","Number","Median Household Income",116316.0
"Avon","0900302060","2009-2013","Some Other Race Alone","Number","Margins of Error",45217.0
"Avon","0900302060","2009-2013","Some Other Race Alone","Ratio to State Median","Median Household Income",3.32
"Avon","0900302060","2009-2013","Some Other Race Alone","Ratio to State Median","Margins of Error",1.3
"Avon","0900302060","2009-2013","Two or More Races","Number","Median Household Income",119432.0
"Avon","0900302060","2009-2013","Two or More Races","Number","Margins of Error",153369.0
"Avon","0900302060","2009-2013","Two or More Races","Ratio to State Median","Median Household Income",2.35
"Avon","0900302060","2009-2013","Two or More Races","Ratio to State Median","Margins of Error",3.01
"Avon","0900302060","2009-2013","White Alone","Number","Median Household Income",113429.0
"Avon","0900302060","2009-2013","White Alone","Number","Margins of Error",8832.0
"Avon","0900302060","2009-2013","White Alone","Ratio to State Median","Median Household Income",1.51
"Avon","0900302060","2009-2013","White Alone","Ratio to State Median","Margins of Error",0.12
"Avon","0900302060","2009-2013","White Alone Not Hispanic or Latino","Number","Median Household Income",112666.0
"Avon","0900302060","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",8589.0
"Avon","0900302060","2009-2013","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.45
"Avon","0900302060","2009-2013","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.11
"Avon","0900302060","2010-2014","All","Number","Median Household Income",116565.0
"Avon","0900302060","2010-2014","All","Number","Margins of Error",9288.0
"Avon","0900302060","2010-2014","All","Ratio to State Median","Median Household Income",1.67
"Avon","0900302060","2010-2014","All","Ratio to State Median","Margins of Error",0.13
"Avon","0900302060","2010-2014","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2010-2014","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2010-2014","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2010-2014","Asian Alone","Number","Median Household Income",128438.0
"Avon","0900302060","2010-2014","Asian Alone","Number","Margins of Error",12308.0
"Avon","0900302060","2010-2014","Asian Alone","Ratio to State Median","Median Household Income",1.48
"Avon","0900302060","2010-2014","Asian Alone","Ratio to State Median","Margins of Error",0.15
"Avon","0900302060","2010-2014","Black or African American Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2010-2014","Black or African American Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2010-2014","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2010-2014","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2010-2014","Hispanic or Latino","Number","Median Household Income",140938.0
"Avon","0900302060","2010-2014","Hispanic or Latino","Number","Margins of Error",104232.0
"Avon","0900302060","2010-2014","Hispanic or Latino","Ratio to State Median","Median Household Income",3.58
"Avon","0900302060","2010-2014","Hispanic or Latino","Ratio to State Median","Margins of Error",2.65
"Avon","0900302060","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Avon","0900302060","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Avon","0900302060","2010-2014","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2010-2014","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2010-2014","Some Other Race Alone","Number","Median Household Income",116842.0
"Avon","0900302060","2010-2014","Some Other Race Alone","Number","Margins of Error",45624.0
"Avon","0900302060","2010-2014","Some Other Race Alone","Ratio to State Median","Median Household Income",3.36
"Avon","0900302060","2010-2014","Some Other Race Alone","Ratio to State Median","Margins of Error",1.32
"Avon","0900302060","2010-2014","Two or More Races","Number","Median Household Income",140417.0
"Avon","0900302060","2010-2014","Two or More Races","Number","Margins of Error",127869.0
"Avon","0900302060","2010-2014","Two or More Races","Ratio to State Median","Median Household Income",2.72
"Avon","0900302060","2010-2014","Two or More Races","Ratio to State Median","Margins of Error",2.48
"Avon","0900302060","2010-2014","White Alone","Number","Median Household Income",115515.0
"Avon","0900302060","2010-2014","White Alone","Number","Margins of Error",12388.0
"Avon","0900302060","2010-2014","White Alone","Ratio to State Median","Median Household Income",1.52
"Avon","0900302060","2010-2014","White Alone","Ratio to State Median","Margins of Error",0.16
"Avon","0900302060","2010-2014","White Alone Not Hispanic or Latino","Number","Median Household Income",113906.0
"Avon","0900302060","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",12579.0
"Avon","0900302060","2010-2014","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.45
"Avon","0900302060","2010-2014","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.16
"Avon","0900302060","2011-2015","All","Number","Median Household Income",123894.0
"Avon","0900302060","2011-2015","All","Number","Margins of Error",10286.0
"Avon","0900302060","2011-2015","All","Ratio to State Median","Median Household Income",1.76
"Avon","0900302060","2011-2015","All","Ratio to State Median","Margins of Error",0.15
"Avon","0900302060","2011-2015","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","Asian Alone","Number","Median Household Income",125583.0
"Avon","0900302060","2011-2015","Asian Alone","Number","Margins of Error",17478.0
"Avon","0900302060","2011-2015","Asian Alone","Ratio to State Median","Median Household Income",1.4
"Avon","0900302060","2011-2015","Asian Alone","Ratio to State Median","Margins of Error",0.2
"Avon","0900302060","2011-2015","Black or African American Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","Black or African American Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","Hispanic or Latino","Number","Median Household Income",195980.0
"Avon","0900302060","2011-2015","Hispanic or Latino","Number","Margins of Error",31063.0
"Avon","0900302060","2011-2015","Hispanic or Latino","Ratio to State Median","Median Household Income",4.89
"Avon","0900302060","2011-2015","Hispanic or Latino","Ratio to State Median","Margins of Error",0.79
"Avon","0900302060","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","Some Other Race Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","Some Other Race Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","Two or More Races","Number","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","Two or More Races","Number","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2011-2015","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2011-2015","White Alone","Number","Median Household Income",123963.0
"Avon","0900302060","2011-2015","White Alone","Number","Margins of Error",12719.0
"Avon","0900302060","2011-2015","White Alone","Ratio to State Median","Median Household Income",1.63
"Avon","0900302060","2011-2015","White Alone","Ratio to State Median","Margins of Error",0.17
"Avon","0900302060","2011-2015","White Alone Not Hispanic or Latino","Number","Median Household Income",121474.0
"Avon","0900302060","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",10183.0
"Avon","0900302060","2011-2015","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.53
"Avon","0900302060","2011-2015","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.13
"Avon","0900302060","2012-2016","All","Number","Median Household Income",124608.0
"Avon","0900302060","2012-2016","All","Number","Margins of Error",9643.0
"Avon","0900302060","2012-2016","All","Ratio to State Median","Median Household Income",1.74
"Avon","0900302060","2012-2016","All","Ratio to State Median","Margins of Error",0.13
"Avon","0900302060","2012-2016","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","Asian Alone","Number","Median Household Income",101047.0
"Avon","0900302060","2012-2016","Asian Alone","Number","Margins of Error",17385.0
"Avon","0900302060","2012-2016","Asian Alone","Ratio to State Median","Median Household Income",1.1
"Avon","0900302060","2012-2016","Asian Alone","Ratio to State Median","Margins of Error",0.19
"Avon","0900302060","2012-2016","Black or African American Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","Black or African American Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","Hispanic or Latino","Number","Median Household Income",198750.0
"Avon","0900302060","2012-2016","Hispanic or Latino","Number","Margins of Error",34208.0
"Avon","0900302060","2012-2016","Hispanic or Latino","Ratio to State Median","Median Household Income",4.72
"Avon","0900302060","2012-2016","Hispanic or Latino","Ratio to State Median","Margins of Error",0.82
"Avon","0900302060","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","Some Other Race Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","Some Other Race Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","Two or More Races","Number","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","Two or More Races","Number","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2012-2016","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2012-2016","White Alone","Number","Median Household Income",127479.0
"Avon","0900302060","2012-2016","White Alone","Number","Margins of Error",11409.0
"Avon","0900302060","2012-2016","White Alone","Ratio to State Median","Median Household Income",1.64
"Avon","0900302060","2012-2016","White Alone","Ratio to State Median","Margins of Error",0.15
"Avon","0900302060","2012-2016","White Alone Not Hispanic or Latino","Number","Median Household Income",126188.0
"Avon","0900302060","2012-2016","White Alone Not Hispanic or Latino","Number","Margins of Error",10851.0
"Avon","0900302060","2012-2016","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.55
"Avon","0900302060","2012-2016","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.13
"Avon","0900302060","2013-2017","All","Number","Median Household Income",125536.0
"Avon","0900302060","2013-2017","All","Number","Margins of Error",7099.0
"Avon","0900302060","2013-2017","All","Ratio to State Median","Median Household Income",1.7
"Avon","0900302060","2013-2017","All","Ratio to State Median","Margins of Error",0.1
"Avon","0900302060","2013-2017","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2013-2017","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2013-2017","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2013-2017","Asian Alone","Number","Median Household Income",104178.0
"Avon","0900302060","2013-2017","Asian Alone","Number","Margins of Error",30277.0
"Avon","0900302060","2013-2017","Asian Alone","Ratio to State Median","Median Household Income",1.14
"Avon","0900302060","2013-2017","Asian Alone","Ratio to State Median","Margins of Error",0.33
"Avon","0900302060","2013-2017","Black or African American Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2013-2017","Black or African American Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2013-2017","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2013-2017","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2013-2017","Hispanic or Latino","Number","Median Household Income",204583.0
"Avon","0900302060","2013-2017","Hispanic or Latino","Number","Margins of Error",59981.0
"Avon","0900302060","2013-2017","Hispanic or Latino","Ratio to State Median","Median Household Income",4.63
"Avon","0900302060","2013-2017","Hispanic or Latino","Ratio to State Median","Margins of Error",1.36
"Avon","0900302060","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Avon","0900302060","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Avon","0900302060","2013-2017","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2013-2017","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2013-2017","Some Other Race Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2013-2017","Some Other Race Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2013-2017","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2013-2017","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2013-2017","Two or More Races","Number","Median Household Income",159135.0
"Avon","0900302060","2013-2017","Two or More Races","Number","Margins of Error",147941.0
"Avon","0900302060","2013-2017","Two or More Races","Ratio to State Median","Median Household Income",2.86
"Avon","0900302060","2013-2017","Two or More Races","Ratio to State Median","Margins of Error",2.67
"Avon","0900302060","2013-2017","White Alone","Number","Median Household Income",127446.0
"Avon","0900302060","2013-2017","White Alone","Number","Margins of Error",8499.0
"Avon","0900302060","2013-2017","White Alone","Ratio to State Median","Median Household Income",1.59
"Avon","0900302060","2013-2017","White Alone","Ratio to State Median","Margins of Error",0.11
"Avon","0900302060","2013-2017","White Alone Not Hispanic or Latino","Number","Median Household Income",126268.0
"Avon","0900302060","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",8309.0
"Avon","0900302060","2013-2017","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.51
"Avon","0900302060","2013-2017","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.1
"Avon","0900302060","2014-2018","All","Number","Median Household Income",132500.0
"Avon","0900302060","2014-2018","All","Number","Margins of Error",9462.0
"Avon","0900302060","2014-2018","All","Ratio to State Median","Median Household Income",1.74
"Avon","0900302060","2014-2018","All","Ratio to State Median","Margins of Error",0.12
"Avon","0900302060","2014-2018","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2014-2018","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2014-2018","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2014-2018","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2014-2018","Asian Alone","Number","Median Household Income",107297.0
"Avon","0900302060","2014-2018","Asian Alone","Number","Margins of Error",41370.0
"Avon","0900302060","2014-2018","Asian Alone","Ratio to State Median","Median Household Income",1.15
"Avon","0900302060","2014-2018","Asian Alone","Ratio to State Median","Margins of Error",0.44
"Avon","0900302060","2014-2018","Black or African American Alone","Number","Median Household Income",63083.0
"Avon","0900302060","2014-2018","Black or African American Alone","Number","Margins of Error",34150.0
"Avon","0900302060","2014-2018","Black or African American Alone","Ratio to State Median","Median Household Income",1.32
"Avon","0900302060","2014-2018","Black or African American Alone","Ratio to State Median","Margins of Error",0.71
"Avon","0900302060","2014-2018","Hispanic or Latino","Number","Median Household Income",209280.0
"Avon","0900302060","2014-2018","Hispanic or Latino","Number","Margins of Error",50925.0
"Avon","0900302060","2014-2018","Hispanic or Latino","Ratio to State Median","Median Household Income",4.58
"Avon","0900302060","2014-2018","Hispanic or Latino","Ratio to State Median","Margins of Error",1.12
"Avon","0900302060","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Avon","0900302060","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Avon","0900302060","2014-2018","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2014-2018","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2014-2018","Some Other Race Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2014-2018","Some Other Race Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2014-2018","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2014-2018","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2014-2018","Two or More Races","Number","Median Household Income",164250.0
"Avon","0900302060","2014-2018","Two or More Races","Number","Margins of Error",116176.0
"Avon","0900302060","2014-2018","Two or More Races","Ratio to State Median","Median Household Income",2.83
"Avon","0900302060","2014-2018","Two or More Races","Ratio to State Median","Margins of Error",2.01
"Avon","0900302060","2014-2018","White Alone","Number","Median Household Income",133620.0
"Avon","0900302060","2014-2018","White Alone","Number","Margins of Error",9700.0
"Avon","0900302060","2014-2018","White Alone","Ratio to State Median","Median Household Income",1.61
"Avon","0900302060","2014-2018","White Alone","Ratio to State Median","Margins of Error",0.12
"Avon","0900302060","2014-2018","White Alone Not Hispanic or Latino","Number","Median Household Income",132136.0
"Avon","0900302060","2014-2018","White Alone Not Hispanic or Latino","Number","Margins of Error",9502.0
"Avon","0900302060","2014-2018","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.52
"Avon","0900302060","2014-2018","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.11
"Avon","0900302060","2015-2019","All","Number","Median Household Income",131130.0
"Avon","0900302060","2015-2019","All","Number","Margins of Error",10475.0
"Avon","0900302060","2015-2019","All","Ratio to State Median","Median Household Income",1.67
"Avon","0900302060","2015-2019","All","Ratio to State Median","Margins of Error",0.13
"Avon","0900302060","2015-2019","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","Asian Alone","Number","Median Household Income",109375.0
"Avon","0900302060","2015-2019","Asian Alone","Number","Margins of Error",58224.0
"Avon","0900302060","2015-2019","Asian Alone","Ratio to State Median","Median Household Income",1.13
"Avon","0900302060","2015-2019","Asian Alone","Ratio to State Median","Margins of Error",0.6
"Avon","0900302060","2015-2019","Black or African American Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","Black or African American Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","Hispanic or Latino","Number","Median Household Income",211014.0
"Avon","0900302060","2015-2019","Hispanic or Latino","Number","Margins of Error",29354.0
"Avon","0900302060","2015-2019","Hispanic or Latino","Ratio to State Median","Median Household Income",4.42
"Avon","0900302060","2015-2019","Hispanic or Latino","Ratio to State Median","Margins of Error",0.62
"Avon","0900302060","2015-2019","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","Some Other Race Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","Some Other Race Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","Two or More Races","Number","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","Two or More Races","Number","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2015-2019","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2015-2019","White Alone","Number","Median Household Income",132839.0
"Avon","0900302060","2015-2019","White Alone","Number","Margins of Error",11642.0
"Avon","0900302060","2015-2019","White Alone","Ratio to State Median","Median Household Income",1.55
"Avon","0900302060","2015-2019","White Alone","Ratio to State Median","Margins of Error",0.14
"Avon","0900302060","2015-2019","White Alone Not Hispanic or Latino","Number","Median Household Income",130865.0
"Avon","0900302060","2015-2019","White Alone Not Hispanic or Latino","Number","Margins of Error",10421.0
"Avon","0900302060","2015-2019","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.46
"Avon","0900302060","2015-2019","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.12
"Avon","0900302060","2016-2020","All","Number","Median Household Income",123077.0
"Avon","0900302060","2016-2020","All","Number","Margins of Error",13322.0
"Avon","0900302060","2016-2020","All","Ratio to State Median","Median Household Income",1.54
"Avon","0900302060","2016-2020","All","Ratio to State Median","Margins of Error",0.17
"Avon","0900302060","2016-2020","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2016-2020","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2016-2020","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2016-2020","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2016-2020","Asian Alone","Number","Median Household Income",165833.0
"Avon","0900302060","2016-2020","Asian Alone","Number","Margins of Error",93392.0
"Avon","0900302060","2016-2020","Asian Alone","Ratio to State Median","Median Household Income",1.64
"Avon","0900302060","2016-2020","Asian Alone","Ratio to State Median","Margins of Error",0.92
"Avon","0900302060","2016-2020","Black or African American Alone","Number","Median Household Income",127563.0
"Avon","0900302060","2016-2020","Black or African American Alone","Number","Margins of Error",7592.0
"Avon","0900302060","2016-2020","Black or African American Alone","Ratio to State Median","Median Household Income",2.51
"Avon","0900302060","2016-2020","Black or African American Alone","Ratio to State Median","Margins of Error",0.16
"Avon","0900302060","2016-2020","Hispanic or Latino","Number","Median Household Income",173355.0
"Avon","0900302060","2016-2020","Hispanic or Latino","Number","Margins of Error",98170.0
"Avon","0900302060","2016-2020","Hispanic or Latino","Ratio to State Median","Median Household Income",3.56
"Avon","0900302060","2016-2020","Hispanic or Latino","Ratio to State Median","Margins of Error",2.02
"Avon","0900302060","2016-2020","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Avon","0900302060","2016-2020","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Avon","0900302060","2016-2020","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2016-2020","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2016-2020","Some Other Race Alone","Number","Median Household Income",-9999.0
"Avon","0900302060","2016-2020","Some Other Race Alone","Number","Margins of Error",-9999.0
"Avon","0900302060","2016-2020","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Avon","0900302060","2016-2020","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Avon","0900302060","2016-2020","Two or More Races","Number","Median Household Income",201563.0
"Avon","0900302060","2016-2020","Two or More Races","Number","Margins of Error",104683.0
"Avon","0900302060","2016-2020","Two or More Races","Ratio to State Median","Median Household Income",3.21
"Avon","0900302060","2016-2020","Two or More Races","Ratio to State Median","Margins of Error",1.69
"Avon","0900302060","2016-2020","White Alone","Number","Median Household Income",119828.0
"Avon","0900302060","2016-2020","White Alone","Number","Margins of Error",16155.0
"Avon","0900302060","2016-2020","White Alone","Ratio to State Median","Median Household Income",1.38
"Avon","0900302060","2016-2020","White Alone","Ratio to State Median","Margins of Error",0.19
"Avon","0900302060","2016-2020","White Alone Not Hispanic or Latino","Number","Median Household Income",118664.0
"Avon","0900302060","2016-2020","White Alone Not Hispanic or Latino","Number","Margins of Error",15964.0
"Avon","0900302060","2016-2020","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.3
"Avon","0900302060","2016-2020","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.18
"Barkhamsted","0900502760","2005-2009","All","Number","Median Household Income",89402.0
"Barkhamsted","0900502760","2005-2009","All","Number","Margins of Error",11343.0
"Barkhamsted","0900502760","2005-2009","All","Ratio to State Median","Median Household Income",1.32
"Barkhamsted","0900502760","2005-2009","All","Ratio to State Median","Margins of Error",0.17
"Barkhamsted","0900502760","2005-2009","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Barkhamsted","0900502760","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Barkhamsted","0900502760","2005-2009","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
